status	original_id	matched_id	converted_id	notes
DIRECT	1AW8-B	1AW8-B	1aw8_B	Exact ID match
DIRECT	1AW9-A	1AW9-A	1aw9_A	Exact ID match
DIRECT	1AWC-A	1AWC-A	1awc_A	Exact ID match
DIRECT	1AWD-A	1AWD-A	1awd_A	Exact ID match
DIRECT	1AX8-A	1AX8-A	1ax8_A	Exact ID match
DIRECT	1AXD-A	1AXD-A	1axd_A	Exact ID match
DIRECT	1AXK-A	1AXK-A	1axk_A	Exact ID match
DIRECT	1AY2-A	1AY2-A	1ay2_A	Exact ID match
DIRECT	1AY9-A	1AY9-A	1ay9_A	Exact ID match
DIRECT	1AZW-A	1AZW-A	1azw_A	Exact ID match
DIRECT	1AZZ-A	1AZZ-A	1azz_A	Exact ID match
DIRECT	1B04-A	1B04-A	1b04_A	Exact ID match
DIRECT	1B06-A	1B06-A	1b06_A	Exact ID match
DIRECT	1B0U-A	1B0U-A	1b0u_A	Exact ID match
DIRECT	1B10-A	1B10-A	1b10_A	Exact ID match
DIRECT	1B1B-A	1B1B-A	1b1b_A	Exact ID match
DIRECT	1B1X-A	1B1X-A	1b1x_A	Exact ID match
DIRECT	1B20-A	1B20-A	1b20_A	Exact ID match
DIRECT	1B26-A	1B26-A	1b26_A	Exact ID match
DIRECT	1B33-B	1B33-B	1b33_B	Exact ID match
DIRECT	1B33-N	1B33-N	1b33_N	Exact ID match
DIRECT	1B35-B	1B35-B	1b35_B	Exact ID match
DIRECT	1B3C-A	1B3C-A	1b3c_A	Exact ID match
DIRECT	1B3T-A	1B3T-A	1b3t_A	Exact ID match
DIRECT	1B43-A	1B43-A	1b43_A	Exact ID match
DIRECT	1B44-D	1B44-D	1b44_D	Exact ID match
DIRECT	1B48-A	1B48-A	1b48_A	Exact ID match
DIRECT	1B4A-A	1B4A-A	1b4a_A	Exact ID match
DIRECT	1B4U-A	1B4U-A	1b4u_A	Exact ID match
DIRECT	1B55-A	1B55-A	1b55_A	Exact ID match
DIRECT	1B5F-A	1B5F-A	1b5f_A	Exact ID match
DIRECT	1B5F-B	1B5F-B	1b5f_B	Exact ID match
DIRECT	1B5L-A	1B5L-A	1b5l_A	Exact ID match
DIRECT	1B5S-A	1B5S-A	1b5s_A	Exact ID match
DIRECT	1B64-A	1B64-A	1b64_A	Exact ID match
DIRECT	1B65-A	1B65-A	1b65_A	Exact ID match
DIRECT	1B66-A	1B66-A	1b66_A	Exact ID match
DIRECT	1B67-A	1B67-A	1b67_A	Exact ID match
DIRECT	1B6V-A	1B6V-A	1b6v_A	Exact ID match
DIRECT	1B72-A	1B72-A	1b72_A	Exact ID match
DIRECT	1B76-A	1B76-A	1b76_A	Exact ID match
DIRECT	1B78-A	1B78-A	1b78_A	Exact ID match
DIRECT	1B79-A	1B79-A	1b79_A	Exact ID match
DIRECT	1B7D-A	1B7D-A	1b7d_A	Exact ID match
DIRECT	1B7E-A	1B7E-A	1b7e_A	Exact ID match
DIRECT	1B7G-O	1B7G-O	1b7g_O	Exact ID match
DIRECT	1B7T-Y	1B7T-Y	1b7t_Y	Exact ID match
DIRECT	1B85-A	1B85-A	1b85_A	Exact ID match
DIRECT	1B89-A	1B89-A	1b89_A	Exact ID match
DIRECT	1B8D-B	1B8D-B	1b8d_B	Exact ID match
DIRECT	1B8I-A	1B8I-A	1b8i_A	Exact ID match
DIRECT	1B8T-A	1B8T-A	1b8t_A	Exact ID match
DIRECT	1B8X-A	1B8X-A	1b8x_A	Exact ID match
DIRECT	1B9B-A	1B9B-A	1b9b_A	Exact ID match
DIRECT	1B9C-A	1B9C-A	1b9c_A	Exact ID match
DIRECT	1B9H-A	1B9H-A	1b9h_A	Exact ID match
DIRECT	1B9L-A	1B9L-A	1b9l_A	Exact ID match
DIRECT	1B9M-A	1B9M-A	1b9m_A	Exact ID match
DIRECT	1B9R-A	1B9R-A	1b9r_A	Exact ID match
DIRECT	1B9Y-C	1B9Y-C	1b9y_C	Exact ID match
DIRECT	1BAI-A	1BAI-A	1bai_A	Exact ID match
DIRECT	1BB9-A	1BB9-A	1bb9_A	Exact ID match
DIRECT	1BBN-A	1BBN-A	1bbn_A	Exact ID match
DIRECT	1BBP-A	1BBP-A	1bbp_A	Exact ID match
DIRECT	1BBR-E	1BBR-E	1bbr_E	Exact ID match
DIRECT	1BBR-H	1BBR-H	1bbr_H	Exact ID match
DIRECT	1BBT-1	1BBT-1	1bbt_1	Exact ID match
DIRECT	1BBU-A	1BBU-A	1bbu_A	Exact ID match
DIRECT	1BBY-A	1BBY-A	1bby_A	Exact ID match
DIRECT	1BC4-A	1BC4-A	1bc4_A	Exact ID match
DIRECT	1BC5-A	1BC5-A	1bc5_A	Exact ID match
DIRECT	1BCC-A	1BCC-A	1bcc_A	Exact ID match
DIRECT	1BCC-F	1BCC-F	1bcc_F	Exact ID match
DIRECT	1BCC-G	1BCC-G	1bcc_G	Exact ID match
DIRECT	1BCG-A	1BCG-A	1bcg_A	Exact ID match
DIRECT	1BCI-A	1BCI-A	1bci_A	Exact ID match
DIRECT	1BCR-A	1BCR-A	1bcr_A	Exact ID match
DIRECT	1BCT-A	1BCT-A	1bct_A	Exact ID match
DIRECT	1BCX-A	1BCX-A	1bcx_A	Exact ID match
DIRECT	1BD2-D	1BD2-D	1bd2_D	Exact ID match
DIRECT	1BD7-A	1BD7-A	1bd7_A	Exact ID match
DIRECT	1BDA-A	1BDA-A	1bda_A	Exact ID match
DIRECT	1BDL-A	1BDL-A	1bdl_A	Exact ID match
DIRECT	1BE1-A	1BE1-A	1be1_A	Exact ID match
DIRECT	1BE2-A	1BE2-A	1be2_A	Exact ID match
DIRECT	1BEA-A	1BEA-A	1bea_A	Exact ID match
DIRECT	1BEG-A	1BEG-A	1beg_A	Exact ID match
DIRECT	1BEV-1	1BEV-1	1bev_1	Exact ID match
DIRECT	1BEV-2	1BEV-2	1bev_2	Exact ID match
DIRECT	1BEV-3	1BEV-3	1bev_3	Exact ID match
DIRECT	1BEV-4	1BEV-4	1bev_4	Exact ID match
DIRECT	1BF0-A	1BF0-A	1bf0_A	Exact ID match
DIRECT	1BF2-A	1BF2-A	1bf2_A	Exact ID match
DIRECT	1BF6-A	1BF6-A	1bf6_A	Exact ID match
DIRECT	1BFT-A	1BFT-A	1bft_A	Exact ID match
DIRECT	1BFV-L	1BFV-L	1bfv_L	Exact ID match
DIRECT	1BFX-A	1BFX-A	1bfx_A	Exact ID match
DIRECT	1BG5-A	1BG5-A	1bg5_A	Exact ID match
DIRECT	1BG6-A	1BG6-A	1bg6_A	Exact ID match
DIRECT	1BG7-A	1BG7-A	1bg7_A	Exact ID match
DIRECT	1BGC-A	1BGC-A	1bgc_A	Exact ID match
DIRECT	1BGD-A	1BGD-A	1bgd_A	Exact ID match
DIRECT	1BGF-A	1BGF-A	1bgf_A	Exact ID match
DIRECT	1BGG-A	1BGG-A	1bgg_A	Exact ID match
DIRECT	1BGP-A	1BGP-A	1bgp_A	Exact ID match
DIRECT	1BGQ-A	1BGQ-A	1bgq_A	Exact ID match
DIRECT	1BGX-T	1BGX-T	1bgx_T	Exact ID match
DIRECT	1BH6-A	1BH6-A	1bh6_A	Exact ID match
DIRECT	1BHU-A	1BHU-A	1bhu_A	Exact ID match
DIRECT	1BII-A	1BII-A	1bii_A	Exact ID match
DIRECT	1BIK-A	1BIK-A	1bik_A	Exact ID match
DIRECT	1BIP-A	1BIP-A	1bip_A	Exact ID match
DIRECT	1BIS-A	1BIS-A	1bis_A	Exact ID match
DIRECT	1BJF-A	1BJF-A	1bjf_A	Exact ID match
DIRECT	1BK4-A	1BK4-A	1bk4_A	Exact ID match
DIRECT	1BKB-A	1BKB-A	1bkb_A	Exact ID match
DIRECT	1BLE-A	1BLE-A	1ble_A	Exact ID match
DIRECT	1BLI-A	1BLI-A	1bli_A	Exact ID match
DIRECT	1BLU-A	1BLU-A	1blu_A	Exact ID match
DIRECT	1BLX-B	1BLX-B	1blx_B	Exact ID match
DIRECT	1BM8-A	1BM8-A	1bm8_A	Exact ID match
DIRECT	1BML-C	1BML-C	1bml_C	Exact ID match
DIRECT	1BMT-A	1BMT-A	1bmt_A	Exact ID match
DIRECT	1BMV-2	1BMV-2	1bmv_2	Exact ID match
DIRECT	1BND-A	1BND-A	1bnd_A	Exact ID match
DIRECT	1BNZ-A	1BNZ-A	1bnz_A	Exact ID match
DIRECT	1BO9-A	1BO9-A	1bo9_A	Exact ID match
DIRECT	1BOD-A	1BOD-A	1bod_A	Exact ID match
DIRECT	1BOH-A	1BOH-A	1boh_A	Exact ID match
DIRECT	1BOL-A	1BOL-A	1bol_A	Exact ID match
DIRECT	1BOO-A	1BOO-A	1boo_A	Exact ID match
DIRECT	1BPL-A	1BPL-A	1bpl_A	Exact ID match
DIRECT	1BPL-B	1BPL-B	1bpl_B	Exact ID match
DIRECT	1BPO-A	1BPO-A	1bpo_A	Exact ID match
DIRECT	1BQB-A	1BQB-A	1bqb_A	Exact ID match
DIRECT	1BQG-A	1BQG-A	1bqg_A	Exact ID match
DIRECT	1BQY-A	1BQY-A	1bqy_A	Exact ID match
DIRECT	1BR0-A	1BR0-A	1br0_A	Exact ID match
DIRECT	1BRL-B	1BRL-B	1brl_B	Exact ID match
DIRECT	1BRO-A	1BRO-A	1bro_A	Exact ID match
DIRECT	1BRU-P	1BRU-P	1bru_P	Exact ID match
DIRECT	1BRW-A	1BRW-A	1brw_A	Exact ID match
DIRECT	1BRY-Y	1BRY-Y	1bry_Y	Exact ID match
DIRECT	1BS9-A	1BS9-A	1bs9_A	Exact ID match
DIRECT	1BSG-A	1BSG-A	1bsg_A	Exact ID match
DIRECT	1BSW-A	1BSW-A	1bsw_A	Exact ID match
DIRECT	1BT1-A	1BT1-A	1bt1_A	Exact ID match
DIRECT	1BTM-A	1BTM-A	1btm_A	Exact ID match
DIRECT	1BU3-A	1BU3-A	1bu3_A	Exact ID match
DIRECT	1BUC-A	1BUC-A	1buc_A	Exact ID match
DIRECT	1BUH-B	1BUH-B	1buh_B	Exact ID match
DIRECT	1BUJ-A	1BUJ-A	1buj_A	Exact ID match
DIRECT	1BUN-A	1BUN-A	1bun_A	Exact ID match
DIRECT	1BUN-B	1BUN-B	1bun_B	Exact ID match
DIRECT	1BV2-A	1BV2-A	1bv2_A	Exact ID match
DIRECT	1BVO-A	1BVO-A	1bvo_A	Exact ID match
DIRECT	1BVP-1	1BVP-1	1bvp_1	Exact ID match
DIRECT	1BVU-A	1BVU-A	1bvu_A	Exact ID match
DIRECT	1BVY-F	1BVY-F	1bvy_F	Exact ID match
DIRECT	1BW0-A	1BW0-A	1bw0_A	Exact ID match
DIRECT	1BW9-B	1BW9-B	1bw9_B	Exact ID match
DIRECT	1BWD-A	1BWD-A	1bwd_A	Exact ID match
DIRECT	1BWO-A	1BWO-A	1bwo_A	Exact ID match
DIRECT	1BWR-A	1BWR-A	1bwr_A	Exact ID match
DIRECT	1BWV-S	1BWV-S	1bwv_S	Exact ID match
DIRECT	1BWY-A	1BWY-A	1bwy_A	Exact ID match
DIRECT	1BXB-A	1BXB-A	1bxb_A	Exact ID match
DIRECT	1BXC-A	1BXC-A	1bxc_A	Exact ID match
DIRECT	1BXD-A	1BXD-A	1bxd_A	Exact ID match
DIRECT	1BXK-A	1BXK-A	1bxk_A	Exact ID match
DIRECT	1BXN-A	1BXN-A	1bxn_A	Exact ID match
DIRECT	1BXN-I	1BXN-I	1bxn_I	Exact ID match
DIRECT	1BXT-A	1BXT-A	1bxt_A	Exact ID match
DIRECT	1BY1-A	1BY1-A	1by1_A	Exact ID match
DIRECT	1BY7-A	1BY7-A	1by7_A	Exact ID match
DIRECT	1BYG-A	1BYG-A	1byg_A	Exact ID match
DIRECT	1BYH-A	1BYH-A	1byh_A	Exact ID match
DIRECT	1BYO-A	1BYO-A	1byo_A	Exact ID match
DIRECT	1BYR-A	1BYR-A	1byr_A	Exact ID match
DIRECT	1BYW-A	1BYW-A	1byw_A	Exact ID match
DIRECT	1BZ4-A	1BZ4-A	1bz4_A	Exact ID match
DIRECT	1C01-A	1C01-A	1c01_A	Exact ID match
DIRECT	1C07-A	1C07-A	1c07_A	Exact ID match
DIRECT	1C12-A	1C12-A	1c12_A	Exact ID match
DIRECT	1C17-M	1C17-M	1c17_M	Exact ID match
DIRECT	1C1K-A	1C1K-A	1c1k_A	Exact ID match
DIRECT	1C25-A	1C25-A	1c25_A	Exact ID match
DIRECT	1C2N-A	1C2N-A	1c2n_A	Exact ID match
DIRECT	1C2Y-A	1C2Y-A	1c2y_A	Exact ID match
DIRECT	1C30-B	1C30-B	1c30_B	Exact ID match
DIRECT	1C3A-B	1C3A-B	1c3a_B	Exact ID match
DIRECT	1C3G-A	1C3G-A	1c3g_A	Exact ID match
DIRECT	1C3R-A	1C3R-A	1c3r_A	Exact ID match
DIRECT	1C3X-A	1C3X-A	1c3x_A	Exact ID match
DIRECT	1C41-A	1C41-A	1c41_A	Exact ID match
DIRECT	1C4O-A	1C4O-A	1c4o_A	Exact ID match
DIRECT	1C4P-A	1C4P-A	1c4p_A	Exact ID match
DIRECT	1C53-A	1C53-A	1c53_A	Exact ID match
DIRECT	1C5A-A	1C5A-A	1c5a_A	Exact ID match
DIRECT	1C5G-A	1C5G-A	1c5g_A	Exact ID match
DIRECT	1C5K-A	1C5K-A	1c5k_A	Exact ID match
DIRECT	1C6S-A	1C6S-A	1c6s_A	Exact ID match
DIRECT	1C6V-A	1C6V-A	1c6v_A	Exact ID match
DIRECT	1C6X-A	1C6X-A	1c6x_A	Exact ID match
DIRECT	1C7J-A	1C7J-A	1c7j_A	Exact ID match
DIRECT	1C7K-A	1C7K-A	1c7k_A	Exact ID match
DIRECT	1C7M-A	1C7M-A	1c7m_A	Exact ID match
DIRECT	1C8B-A	1C8B-A	1c8b_A	Exact ID match
DIRECT	1C8M-4	1C8M-4	1c8m_4	Exact ID match
DIRECT	1C8O-A	1C8O-A	1c8o_A	Exact ID match
DIRECT	1C8S-A	1C8S-A	1c8s_A	Exact ID match
DIRECT	1C9W-A	1C9W-A	1c9w_A	Exact ID match
DIRECT	1CB1-A	1CB1-A	1cb1_A	Exact ID match
DIRECT	1CBF-A	1CBF-A	1cbf_A	Exact ID match
DIRECT	1CBG-A	1CBG-A	1cbg_A	Exact ID match
DIRECT	1CBK-A	1CBK-A	1cbk_A	Exact ID match
DIRECT	1CBY-A	1CBY-A	1cby_A	Exact ID match
DIRECT	1CC3-A	1CC3-A	1cc3_A	Exact ID match
DIRECT	1CC5-A	1CC5-A	1cc5_A	Exact ID match
DIRECT	1CCD-A	1CCD-A	1ccd_A	Exact ID match
DIRECT	1CCH-A	1CCH-A	1cch_A	Exact ID match
DIRECT	1CCR-A	1CCR-A	1ccr_A	Exact ID match
DIRECT	1CCZ-A	1CCZ-A	1ccz_A	Exact ID match
DIRECT	1CDO-A	1CDO-A	1cdo_A	Exact ID match
DIRECT	1CDT-A	1CDT-A	1cdt_A	Exact ID match
DIRECT	1CE7-A	1CE7-A	1ce7_A	Exact ID match
DIRECT	1CEV-A	1CEV-A	1cev_A	Exact ID match
DIRECT	1CF5-A	1CF5-A	1cf5_A	Exact ID match
DIRECT	1CF7-A	1CF7-A	1cf7_A	Exact ID match
DIRECT	1CF7-B	1CF7-B	1cf7_B	Exact ID match
DIRECT	1CF8-L	1CF8-L	1cf8_L	Exact ID match
DIRECT	1CFE-A	1CFE-A	1cfe_A	Exact ID match
DIRECT	1CFR-A	1CFR-A	1cfr_A	Exact ID match
DIRECT	1CFZ-A	1CFZ-A	1cfz_A	Exact ID match
DIRECT	1CG2-A	1CG2-A	1cg2_A	Exact ID match
DIRECT	1CGM-E	1CGM-E	1cgm_E	Exact ID match
DIRECT	1CHD-A	1CHD-A	1chd_A	Exact ID match
DIRECT	1CHK-A	1CHK-A	1chk_A	Exact ID match
DIRECT	1CHM-A	1CHM-A	1chm_A	Exact ID match
DIRECT	1CHV-S	1CHV-S	1chv_S	Exact ID match
DIRECT	1CI1-A	1CI1-A	1ci1_A	Exact ID match
DIRECT	1CI3-M	1CI3-M	1ci3_M	Exact ID match
DIRECT	1CI6-A	1CI6-A	1ci6_A	Exact ID match
DIRECT	1CI7-A	1CI7-A	1ci7_A	Exact ID match
DIRECT	1CIA-A	1CIA-A	1cia_A	Exact ID match
DIRECT	1CIC-A	1CIC-A	1cic_A	Exact ID match
DIRECT	1CID-A	1CID-A	1cid_A	Exact ID match
DIRECT	1CII-A	1CII-A	1cii_A	Exact ID match
DIRECT	1CIS-A	1CIS-A	1cis_A	Exact ID match
DIRECT	1CIT-A	1CIT-A	1cit_A	Exact ID match
DIRECT	1CIY-A	1CIY-A	1ciy_A	Exact ID match
DIRECT	1CJA-A	1CJA-A	1cja_A	Exact ID match
DIRECT	1CJM-A	1CJM-A	1cjm_A	Exact ID match
DIRECT	1CJS-A	1CJS-A	1cjs_A	Exact ID match
DIRECT	1CJX-A	1CJX-A	1cjx_A	Exact ID match
DIRECT	1CKT-A	1CKT-A	1ckt_A	Exact ID match
DIRECT	1CL4-A	1CL4-A	1cl4_A	Exact ID match
DIRECT	1CLD-A	1CLD-A	1cld_A	Exact ID match
DIRECT	1CLI-A	1CLI-A	1cli_A	Exact ID match
DIRECT	1CLM-A	1CLM-A	1clm_A	Exact ID match
DIRECT	1CMX-A	1CMX-A	1cmx_A	Exact ID match
DIRECT	1CNO-A	1CNO-A	1cno_A	Exact ID match
DIRECT	1CNZ-A	1CNZ-A	1cnz_A	Exact ID match
DIRECT	1CO7-I	1CO7-I	1co7_I	Exact ID match
DIRECT	1COJ-A	1COJ-A	1coj_A	Exact ID match
DIRECT	1COK-A	1COK-A	1cok_A	Exact ID match
DIRECT	1COL-A	1COL-A	1col_A	Exact ID match
DIRECT	1COO-A	1COO-A	1coo_A	Exact ID match
DIRECT	1CP2-A	1CP2-A	1cp2_A	Exact ID match
DIRECT	1CP9-A	1CP9-A	1cp9_A	Exact ID match
DIRECT	1CP9-B	1CP9-B	1cp9_B	Exact ID match
DIRECT	1CPB-A	1CPB-A	1cpb_A	Exact ID match
DIRECT	1CPB-B	1CPB-B	1cpb_B	Exact ID match
DIRECT	1CPC-A	1CPC-A	1cpc_A	Exact ID match
DIRECT	1CPC-B	1CPC-B	1cpc_B	Exact ID match
DIRECT	1CPN-A	1CPN-A	1cpn_A	Exact ID match
DIRECT	1CPT-A	1CPT-A	1cpt_A	Exact ID match
DIRECT	1CPZ-A	1CPZ-A	1cpz_A	Exact ID match
DIRECT	1CQD-A	1CQD-A	1cqd_A	Exact ID match
