id	subset	subtracted_length	sequence_length	query_length	num_sequences
1DPT-A	test_pdbch	0	117	117	256
1DPE-A	test_pdbch	0	507	507	256
1DUJ-A	test_pdbch	0	187	187	256
1DXT-B	test_pdbch	0	147	147	256
1E07-A	test_pdbch	0	642	642	256
1DU5-A	test_pdbch	0	206	206	256
1E0T-A	test_pdbch	0	470	470	256
1DUD-A	test_pdbch	0	152	152	256
1E6B-A	test_pdbch	0	221	221	256
1E1N-A	test_pdbch	0	460	460	256
1E2S-P	test_pdbch	0	489	489	256
1E2Q-A	test_pdbch	0	215	215	256
1E94-E	test_pdbch	0	449	449	256
1E8C-A	test_pdbch	0	498	498	256
1E3W-A	test_pdbch	0	261	261	256
1EE6-A	test_pdbch	0	197	197	256
1EJB-A	test_pdbch	0	168	168	256
1ECF-A	test_pdbch	0	504	504	256
1E9L-A	test_pdbch	0	377	377	256
1EOT-A	test_pdbch	0	74	74	256
1EDZ-A	test_pdbch	0	320	320	256
1EII-A	test_pdbch	0	134	134	256
1EH7-A	test_pdbch	0	207	207	256
1EQT-A	test_pdbch	0	68	68	256
1ETO-A	test_pdbch	0	98	98	256
1EV4-A	test_pdbch	0	221	221	256
1ESO-A	test_pdbch	0	154	154	256
1F0N-A	test_pdbch	0	285	285	256
1F1A-A	test_pdbch	0	154	154	256
1EYB-A	test_pdbch	0	471	471	256
1EXW-A	test_pdbch	0	279	279	256
1F0X-A	test_pdbch	0	571	571	256
1F14-A	test_pdbch	0	310	310	256
1F45-B	test_pdbch	0	197	197	256
1F1Z-A	test_pdbch	0	273	273	256
1F9P-A	test_pdbch	0	85	85	256
1F2J-A	test_pdbch	0	370	370	256
1F5N-A	test_pdbch	0	592	592	256
1F6D-A	test_pdbch	0	376	376	256
1F9Z-A	test_pdbch	0	135	135	256
1FBA-A	test_pdbch	0	361	361	256
1FDR-A	test_pdbch	0	248	248	256
1FE3-A	test_pdbch	0	131	131	256
1FI8-A	test_pdbch	0	228	228	256
1FEP-A	test_pdbch	0	724	724	256
1FIT-A	test_pdbch	0	147	147	256
1FFT-A	test_pdbch	0	663	663	256
1FJ2-A	test_pdbch	0	232	232	256
1FLJ-A	test_pdbch	0	260	260	256
1FPZ-A	test_pdbch	0	212	212	256
1FMT-A	test_pdbch	0	314	314	256
1FUJ-A	test_pdbch	0	221	221	256
1FSU-A	test_pdbch	0	492	492	256
1FS5-A	test_pdbch	0	266	266	256
1FW8-A	test_pdbch	0	416	416	256
1G2S-A	test_pdbch	0	71	71	256
1G3N-A	test_pdbch	0	326	326	256
1FYH-A	test_pdbch	0	258	258	256
1G3N-B	test_pdbch	0	168	168	256
1G6Q-1	test_pdbch	0	328	328	256
1G77-A	test_pdbch	0	218	218	256
1G81-A	test_pdbch	0	164	164	256
1GG4-A	test_pdbch	0	452	452	256
1G9T-A	test_pdbch	0	182	182	256
1GA7-A	test_pdbch	0	209	209	256
1GFN-A	test_pdbch	0	334	334	256
1GN4-A	test_pdbch	0	207	207	256
1GGW-A	test_pdbch	0	140	140	256
1GPQ-A	test_pdbch	0	135	135	256
1GLD-G	test_pdbch	0	501	501	256
1GQV-A	test_pdbch	0	135	135	256
1GIO-A	test_pdbch	0	125	125	256
1GLV-A	test_pdbch	0	303	303	256
1FW1-A	test_pdbch	0	216	216	256
1GR0-A	test_pdbch	0	367	367	256
1GRI-A	test_pdbch	0	217	217	256
1GU6-A	test_pdbch	0	452	452	256
1GY7-A	test_pdbch	0	125	125	256
1GUL-A	test_pdbch	0	222	222	256
1GVF-A	test_pdbch	0	286	286	256
1GZ0-A	test_pdbch	0	253	253	256
1GXD-C	test_pdbch	0	194	194	256
1GZ2-A	test_pdbch	0	142	142	256
1GZU-A	test_pdbch	0	290	290	256
1H0O-A	test_pdbch	0	390	390	256
1H7C-A	test_pdbch	0	108	108	256
1HCE-A	test_pdbch	0	118	118	256
1HDN-A	test_pdbch	0	85	85	256
1H33-A	test_pdbch	0	261	261	256
1HE4-A	test_pdbch	0	206	206	256
1H2T-C	test_pdbch	0	723	723	256
1HEY-A	test_pdbch	0	128	128	256
1HGU-A	test_pdbch	0	191	191	256
1HJW-A	test_pdbch	0	362	362	256
1HFZ-A	test_pdbch	0	124	124	256
1HN4-A	test_pdbch	0	131	131	256
1HNA-A	test_pdbch	0	217	217	256
1HJR-A	test_pdbch	0	158	158	256
1HRP-A	test_pdbch	0	92	92	112
1HR7-A	test_pdbch	0	475	475	256
1HRT-I	test_pdbch	0	65	65	24
1HR8-B	test_pdbch	0	443	443	256
1HSJ-A	test_pdbch	0	487	487	256
1HV2-A	test_pdbch	0	99	99	256
1HTN-A	test_pdbch	0	182	182	256
1HSZ-A	test_pdbch	0	374	374	256
1HRU-A	test_pdbch	0	188	188	256
1HSO-A	test_pdbch	0	374	374	256
1HXP-A	test_pdbch	0	348	348	256
1I45-A	test_pdbch	0	248	248	256
1I3M-A	test_pdbch	0	348	348	256
1I7F-A	test_pdbch	0	292	292	256
1HZH-H	test_pdbch	0	457	457	256
1I78-A	test_pdbch	0	297	297	256
1I4W-A	test_pdbch	0	353	353	256
1IBJ-A	test_pdbch	0	464	464	256
1I8D-A	test_pdbch	0	213	213	256
1IE3-A	test_pdbch	0	312	312	256
1ICR-A	test_pdbch	0	217	217	256
1IAU-A	test_pdbch	0	227	227	256
1IMD-A	test_pdbch	0	277	277	256
1IGA-A	test_pdbch	0	475	475	256
1IFC-A	test_pdbch	0	132	132	256
1IE4-A	test_pdbch	0	127	127	256
1IH5-A	test_pdbch	0	269	269	256
1IS2-A	test_pdbch	0	661	661	256
1IIU-A	test_pdbch	0	174	174	256
1ISF-A	test_pdbch	0	265	265	256
1IST-A	test_pdbch	0	162	162	256
1IG8-A	test_pdbch	0	486	486	256
1ITU-A	test_pdbch	0	369	369	256
1IXQ-A	test_pdbch	0	242	242	256
1J2J-A	test_pdbch	0	166	166	256
1IVH-A	test_pdbch	0	394	394	256
1IYD-A	test_pdbch	0	309	309	256
1J5N-A	test_pdbch	0	93	93	256
1J9O-A	test_pdbch	0	93	93	256
1J4X-A	test_pdbch	0	184	184	256
1J6Y-A	test_pdbch	0	139	139	256
1JAT-A	test_pdbch	0	155	155	256
1JFI-B	test_pdbch	0	179	179	256
1JCN-A	test_pdbch	0	514	514	256
1JHH-A	test_pdbch	0	202	202	256
1JL0-A	test_pdbch	0	334	334	256
1JKX-A	test_pdbch	0	212	212	256
1JEY-A	test_pdbch	0	609	609	256
1JHW-A	test_pdbch	0	347	347	256
1JMJ-A	test_pdbch	0	480	480	256
1JPH-A	test_pdbch	0	388	388	256
1JLH-A	test_pdbch	0	558	558	256
1JQI-A	test_pdbch	0	388	388	256
1JR2-A	test_pdbch	0	286	286	256
1JNE-A	test_pdbch	0	420	420	256
1JNK-A	test_pdbch	0	423	423	256
1JQP-A	test_pdbch	0	438	438	256
1JSX-A	test_pdbch	0	207	207	256
1JX7-A	test_pdbch	0	117	117	256
1JUO-A	test_pdbch	0	198	198	256
1K0K-A	test_pdbch	0	125	125	256
1JYJ-A	test_pdbch	0	183	183	256
1JV1-A	test_pdbch	0	505	505	256
1K5G-B	test_pdbch	0	201	201	256
1K0W-A	test_pdbch	0	231	231	256
1KAE-A	test_pdbch	0	434	434	256
1K6M-A	test_pdbch	0	432	432	256
1K9A-A	test_pdbch	0	450	450	256
1KCF-A	test_pdbch	0	258	258	256
1KF9-A	test_pdbch	0	191	191	256
1KB9-C	test_pdbch	0	385	385	256
1KM7-A	test_pdbch	0	117	117	256
1KFU-L	test_pdbch	0	699	699	256
1KHE-A	test_pdbch	0	625	625	256
1KQG-C	test_pdbch	0	217	217	256
1KNR-A	test_pdbch	0	540	540	256
1KQG-B	test_pdbch	0	294	294	256
1KMI-Z	test_pdbch	0	214	214	256
1KR5-A	test_pdbch	0	226	226	256
1KSH-B	test_pdbch	0	152	152	256
1L1F-A	test_pdbch	0	505	505	256
1KV5-A	test_pdbch	0	250	250	256
1KZX-A	test_pdbch	0	131	131	256
1KXU-A	test_pdbch	0	333	333	256
1KSL-A	test_pdbch	0	234	234	256
1KYN-A	test_pdbch	0	235	235	256
1L8L-A	test_pdbch	0	225	225	256
1L1O-A	test_pdbch	0	121	121	256
1LBQ-A	test_pdbch	0	362	362	256
1L9X-A	test_pdbch	0	315	315	256
1LKJ-A	test_pdbch	0	146	146	256
1LGN-A	test_pdbch	0	204	204	256
1LDI-A	test_pdbch	0	281	281	256
1L9N-A	test_pdbch	0	692	692	256
1LJ7-A	test_pdbch	0	206	206	256
1LN1-A	test_pdbch	0	214	214	256
1LI5-A	test_pdbch	0	461	461	256
1LNW-A	test_pdbch	0	147	147	256
1LN4-A	test_pdbch	0	104	104	256
1LPA-B	test_pdbch	0	449	449	256
1LV0-A	test_pdbch	0	449	449	256
1LQA-A	test_pdbch	0	346	346	256
1LTO-A	test_pdbch	0	245	245	256
1LT8-A	test_pdbch	0	406	406	256
1M1E-B	test_pdbch	0	81	81	256
1LYL-A	test_pdbch	0	504	504	256
1LTX-R	test_pdbch	0	650	650	256
1LV9-A	test_pdbch	0	77	77	256
1M4U-A	test_pdbch	0	206	206	256
1M65-A	test_pdbch	0	245	245	256
1M2O-B	test_pdbch	0	190	190	256
1M2V-B	test_pdbch	0	926	926	256
1M5Y-A	test_pdbch	0	408	408	256
1M9I-A	test_pdbch	0	672	672	256
1MA9-A	test_pdbch	0	458	458	256
1M9N-A	test_pdbch	0	613	613	256
1MC3-A	test_pdbch	0	296	296	256
1MAB-G	test_pdbch	0	270	270	256
1MAL-A	test_pdbch	0	421	421	256
1MJC-A	test_pdbch	0	69	69	256
1MG5-A	test_pdbch	0	255	255	256
1MG1-A	test_pdbch	0	450	450	256
1MFI-A	test_pdbch	0	114	114	256
1MOZ-A	test_pdbch	0	183	183	256
1MKB-A	test_pdbch	0	171	171	256
1MQ0-A	test_pdbch	0	140	140	256
1MM4-A	test_pdbch	0	170	170	256
1MVN-A	test_pdbch	0	209	209	256
1MSH-A	test_pdbch	0	72	72	256
1MX5-A	test_pdbch	0	548	548	256
1MZR-A	test_pdbch	0	296	296	256
1MIR-A	test_pdbch	0	322	322	256
1N4R-B	test_pdbch	0	377	377	256
1MZB-A	test_pdbch	0	136	136	256
1N2D-A	test_pdbch	0	148	148	256
1N9R-A	test_pdbch	0	93	93	256
1N57-A	test_pdbch	0	291	291	256
1N7G-A	test_pdbch	0	381	381	256
1NCV-A	test_pdbch	0	76	76	256
1ND5-A	test_pdbch	0	354	354	256
1NPM-A	test_pdbch	0	225	225	256
1NL3-A	test_pdbch	0	922	922	256
1NE7-A	test_pdbch	0	289	289	256
1NI5-A	test_pdbch	0	433	433	256
1NN6-A	test_pdbch	0	228	228	256
1NMO-A	test_pdbch	0	247	247	256
1NQH-A	test_pdbch	0	594	594	256
1NRG-A	test_pdbch	0	261	261	256
1NSK-R	test_pdbch	0	152	152	256
1NR0-A	test_pdbch	0	611	611	256
1NTF-A	test_pdbch	0	282	282	256
1NSQ-A	test_pdbch	0	153	153	256
1NT4-A	test_pdbch	0	391	391	256
1NWA-A	test_pdbch	0	203	203	256
1NYT-A	test_pdbch	0	271	271	256
1NY3-A	test_pdbch	0	400	400	256
1NYE-A	test_pdbch	0	162	162	256
1NZO-A	test_pdbch	0	363	363	256
1O4Z-A	test_pdbch	0	346	346	256
1O8T-A	test_pdbch	0	79	79	179
1O1P-A	test_pdbch	0	283	283	256
1O1S-A	test_pdbch	0	380	380	256
1O5W-A	test_pdbch	0	534	534	256
1O8B-A	test_pdbch	0	219	219	256
1OCU-A	test_pdbch	0	162	162	256
1OAT-A	test_pdbch	0	439	439	256
1O92-A	test_pdbch	0	396	396	256
1OHT-A	test_pdbch	0	215	215	256
1OHW-A	test_pdbch	0	472	472	256
1OGP-A	test_pdbch	0	393	393	256
1OI2-A	test_pdbch	0	366	366	256
1OIP-A	test_pdbch	0	278	278	256
1OI4-A	test_pdbch	0	193	193	256
1OKG-A	test_pdbch	0	373	373	256
1OQY-A	test_pdbch	0	368	368	256
1ORF-A	test_pdbch	0	234	234	256
1OUN-A	test_pdbch	0	127	127	256
1ONI-A	test_pdbch	0	138	138	256
1OJ6-A	test_pdbch	0	151	151	256
1OV4-A	test_pdbch	0	293	293	256
1P94-A	test_pdbch	0	76	76	256
1P9P-A	test_pdbch	0	261	261	256
1PDW-A	test_pdbch	0	197	197	256
1P4S-A	test_pdbch	0	181	181	256
1P0H-A	test_pdbch	0	318	318	256
1P9O-A	test_pdbch	0	313	313	256
1P49-A	test_pdbch	0	562	562	256
1PFN-A	test_pdbch	0	68	68	256
1PFK-A	test_pdbch	0	320	320	256
1PL2-A	test_pdbch	0	222	222	256
1PI6-A	test_pdbch	0	615	615	256
1PIY-A	test_pdbch	0	375	375	256
1PJL-A	test_pdbch	0	584	584	256
1PIL-A	test_pdbch	0	112	112	256
1PPF-E	test_pdbch	0	218	218	256
1PL8-A	test_pdbch	0	356	356	256
1PQV-D	test_pdbch	0	221	221	256
1PQV-S	test_pdbch	0	309	309	256
1PRQ-A	test_pdbch	0	125	125	256
1PSW-A	test_pdbch	0	348	348	256
1PXT-A	test_pdbch	0	390	390	256
1Q14-A	test_pdbch	0	361	361	256
1PV1-A	test_pdbch	0	299	299	256
1PUC-A	test_pdbch	0	105	105	256
1PZS-A	test_pdbch	0	208	208	256
1PW6-A	test_pdbch	0	133	133	85
1Q1Q-A	test_pdbch	0	350	350	256
1Q2L-A	test_pdbch	0	939	939	256
1Q32-A	test_pdbch	0	544	544	256
1Q67-A	test_pdbch	0	231	231	256
1Q44-A	test_pdbch	0	326	326	256
1Q5R-H	test_pdbch	0	294	294	256
1Q7C-A	test_pdbch	0	244	244	256
1Q5Q-A	test_pdbch	0	259	259	256
1QCK-A	test_pdbch	0	89	89	256
1QAH-A	test_pdbch	0	136	136	256
1QCQ-A	test_pdbch	0	148	148	256
1QF6-A	test_pdbch	0	642	642	256
1QB3-A	test_pdbch	0	150	150	256
1QFJ-A	test_pdbch	0	232	232	256
1QH4-A	test_pdbch	0	380	380	256
1QLX-A	test_pdbch	0	210	210	256
1QFW-B	test_pdbch	0	145	145	256
1QMT-A	test_pdbch	0	134	134	256
1QMV-A	test_pdbch	0	197	197	256
1QK1-A	test_pdbch	0	379	379	256
1QQE-A	test_pdbch	0	292	292	256
1QON-A	test_pdbch	0	585	585	256
1QPB-A	test_pdbch	0	563	563	256
1QPG-A	test_pdbch	0	415	415	256
1QRD-A	test_pdbch	0	273	273	256
1QPV-A	test_pdbch	0	143	143	256
1QQW-A	test_pdbch	0	527	527	256
1QVW-A	test_pdbch	0	237	237	256
1QU9-A	test_pdbch	0	128	128	256
1QSA-A	test_pdbch	0	618	618	256
1QWI-A	test_pdbch	0	143	143	256
1QZU-A	test_pdbch	0	206	206	256
1R26-A	test_pdbch	0	125	125	256
1QYR-A	test_pdbch	0	252	252	256
1R5T-A	test_pdbch	0	142	142	256
1QZY-A	test_pdbch	0	478	478	256
1R6B-X	test_pdbch	0	758	758	256
1RJT-A	test_pdbch	0	73	73	256
1R74-A	test_pdbch	0	294	294	256
1R6T-A	test_pdbch	0	477	477	256
1R6V-A	test_pdbch	0	671	671	256
1RNL-A	test_pdbch	0	215	215	256
1R6Z-P	test_pdbch	0	509	509	256
1R94-A	test_pdbch	0	118	118	256
1RY2-A	test_pdbch	0	663	663	256
1RTP-1	test_pdbch	0	109	109	256
1RX0-A	test_pdbch	0	393	393	256
1ROZ-A	test_pdbch	0	369	369	256
1RPA-A	test_pdbch	0	342	342	256
1RXT-A	test_pdbch	0	496	496	256
1S1E-A	test_pdbch	0	224	224	256
1RYX-A	test_pdbch	0	686	686	256
1SAV-A	test_pdbch	0	320	320	256
1S89-A	test_pdbch	0	152	152	256
1S7T-A	test_pdbch	0	348	348	256
1S5E-A	test_pdbch	0	240	240	256
1SGO-A	test_pdbch	0	139	139	256
1S5O-A	test_pdbch	0	616	616	256
1SB7-A	test_pdbch	0	368	368	256
1SIR-A	test_pdbch	0	394	394	256
1SIW-C	test_pdbch	0	225	225	256
1ST7-A	test_pdbch	0	86	86	256
1SQI-A	test_pdbch	0	393	393	256
1SU1-A	test_pdbch	0	208	208	256
1SMQ-A	test_pdbch	0	399	399	256
1SMS-A	test_pdbch	0	345	345	256
1SJJ-A	test_pdbch	0	863	863	256
1SVA-1	test_pdbch	0	361	361	197
1SU3-A	test_pdbch	0	450	450	256
1SVT-O	test_pdbch	0	97	97	256
1SXJ-B	test_pdbch	0	323	323	256
1SXJ-C	test_pdbch	0	340	340	256
1SXJ-D	test_pdbch	0	353	353	256
1SXJ-E	test_pdbch	0	354	354	256
1SXR-A	test_pdbch	0	183	183	256
1T0K-B	test_pdbch	0	105	105	256
1T0I-A	test_pdbch	0	191	191	256
1SY7-A	test_pdbch	0	715	715	256
1T3K-A	test_pdbch	0	152	152	256
1T3D-A	test_pdbch	0	289	289	256
1T1U-A	test_pdbch	0	639	639	256
1T5A-A	test_pdbch	0	567	567	256
1T3Y-A	test_pdbch	0	141	141	256
1T4B-A	test_pdbch	0	367	367	256
1T9B-A	test_pdbch	0	677	677	256
1TG6-A	test_pdbch	0	277	277	256
1TAG-A	test_pdbch	0	324	324	256
1TLB-A	test_pdbch	0	326	326	256
1TDH-A	test_pdbch	0	364	364	256
1TAR-A	test_pdbch	0	401	401	256
1TEV-A	test_pdbch	0	196	196	256
1TFP-A	test_pdbch	0	130	130	256
1TLY-A	test_pdbch	0	278	278	256
1TMH-A	test_pdbch	0	254	254	256
1TRI-A	test_pdbch	0	243	243	256
1U1E-A	test_pdbch	0	256	256	256
1TZS-A	test_pdbch	0	351	351	256
1U0F-A	test_pdbch	0	564	564	256
1TT5-A	test_pdbch	0	531	531	256
1U2M-A	test_pdbch	0	143	143	256
1U1U-A	test_pdbch	0	765	765	256
1U97-A	test_pdbch	0	69	69	256
1U2Q-A	test_pdbch	0	163	163	256
1U6G-B	test_pdbch	0	108	108	256
1U3W-A	test_pdbch	0	374	374	256
1UDR-A	test_pdbch	0	129	129	256
1UEA-B	test_pdbch	0	184	184	256
1UDA-A	test_pdbch	0	338	338	256
1UA2-A	test_pdbch	0	346	346	256
1UIA-A	test_pdbch	0	127	127	256
1UJ8-A	test_pdbch	0	77	77	256
1UKY-A	test_pdbch	0	203	203	256
1UMK-A	test_pdbch	0	275	275	256
1UOU-A	test_pdbch	0	474	474	256
1UMY-A	test_pdbch	0	407	407	256
1USI-A	test_pdbch	0	346	346	256
1UQT-A	test_pdbch	0	482	482	256
1URH-A	test_pdbch	0	280	280	256
1UUO-A	test_pdbch	0	372	372	256
1UW5-A	test_pdbch	0	270	270	256
1UWC-A	test_pdbch	0	261	261	256
1US1-A	test_pdbch	0	763	763	256
1V59-A	test_pdbch	0	478	478	256
1UWY-A	test_pdbch	0	426	426	256
1V3A-A	test_pdbch	0	173	173	256
1V77-A	test_pdbch	0	212	212	256
1VAI-A	test_pdbch	0	166	166	256
1V5W-A	test_pdbch	0	343	343	256
1VIX-A	test_pdbch	0	420	420	256
1VB3-A	test_pdbch	0	428	428	256
1VA6-A	test_pdbch	0	518	518	256
1VYH-C	test_pdbch	0	410	410	256
1VLP-A	test_pdbch	0	441	441	256
1W3W-A	test_pdbch	0	327	327	256
1W07-A	test_pdbch	0	659	659	256
1W6K-A	test_pdbch	0	732	732	256
1WA5-B	test_pdbch	0	530	530	256
1W7P-D	test_pdbch	0	566	566	256
1W73-A	test_pdbch	0	302	302	256
1WA5-C	test_pdbch	0	960	960	256
1WCM-J	test_pdbch	0	70	70	256
1WG0-A	test_pdbch	0	243	243	256
1WB0-A	test_pdbch	0	445	445	256
1WN0-A	test_pdbch	0	145	145	256
1WLE-A	test_pdbch	0	501	501	256
1WL4-A	test_pdbch	0	397	397	256
1WKO-A	test_pdbch	0	180	180	256
1WLJ-A	test_pdbch	0	189	189	256
1WOU-A	test_pdbch	0	123	123	256
1WNB-A	test_pdbch	0	495	495	256
1WSR-A	test_pdbch	0	375	375	256
1WTH-A	test_pdbch	0	584	584	256
1WZV-A	test_pdbch	0	155	155	256
1WY9-A	test_pdbch	0	147	147	256
1WUU-A	test_pdbch	0	399	399	256
1WPX-B	test_pdbch	0	220	220	256
1X0T-A	test_pdbch	0	120	120	256
1X0X-A	test_pdbch	0	354	354	256
1X7Z-A	test_pdbch	0	400	400	256
1X90-A	test_pdbch	0	152	152	256
1X23-A	test_pdbch	0	155	155	256
1X3Z-A	test_pdbch	0	335	335	256
1X6V-B	test_pdbch	0	630	630	256
1XA6-A	test_pdbch	0	466	466	256
1XB4-A	test_pdbch	0	202	202	256
1XBI-A	test_pdbch	0	120	120	256
1XFB-A	test_pdbch	0	365	365	256
1XDL-A	test_pdbch	0	365	365	256
1XFL-A	test_pdbch	0	124	124	256
1XCD-A	test_pdbch	0	329	329	256
1XDP-A	test_pdbch	0	687	687	256
1XC6-A	test_pdbch	0	971	971	256
1XHN-A	test_pdbch	0	184	184	256
1XDY-A	test_pdbch	0	298	298	256
1XS4-A	test_pdbch	0	193	193	256
1XMM-B	test_pdbch	0	342	342	256
1XMB-A	test_pdbch	0	418	418	256
1XQ8-A	test_pdbch	0	140	140	256
1XLY-A	test_pdbch	0	234	234	46
1XMD-A	test_pdbch	0	612	612	256
1XRB-A	test_pdbch	0	383	383	256
1XTC-D	test_pdbch	0	103	103	6
1XWN-A	test_pdbch	0	174	174	256
1Y00-A	test_pdbch	0	61	61	256
1XX4-A	test_pdbch	0	261	261	256
1XWK-A	test_pdbch	0	218	218	256
1XWB-A	test_pdbch	0	106	106	256
1Y25-A	test_pdbch	0	165	165	256
1Y4U-A	test_pdbch	0	559	559	256
1Y4C-A	test_pdbch	0	494	494	256
1YB5-A	test_pdbch	0	351	351	256
1Y79-1	test_pdbch	0	680	680	256
1Y8B-A	test_pdbch	0	731	731	256
1YAA-A	test_pdbch	0	412	412	256
1YCK-A	test_pdbch	0	175	175	256
1Y8N-A	test_pdbch	0	419	419	256
1YEB-A	test_pdbch	0	108	108	256
1YHP-A	test_pdbch	0	212	212	256
1YII-A	test_pdbch	0	320	320	256
1YPN-A	test_pdbch	0	313	313	256
1YFM-A	test_pdbch	0	488	488	256
1YOV-B	test_pdbch	0	444	444	256
1YCN-A	test_pdbch	0	317	317	256
1YMG-A	test_pdbch	0	263	263	256
1YTA-A	test_pdbch	0	180	180	256
1YUT-A	test_pdbch	0	98	98	256
1YWS-A	test_pdbch	0	82	82	256
1Z45-A	test_pdbch	0	699	699	256
1YVL-A	test_pdbch	0	683	683	256
1Z6X-A	test_pdbch	0	180	180	256
1YXM-A	test_pdbch	0	303	303	256
1Z5V-A	test_pdbch	0	474	474	256
1Z83-A	test_pdbch	0	196	196	256
1Z68-A	test_pdbch	0	719	719	256
1Z93-A	test_pdbch	0	266	266	256
1ZCB-A	test_pdbch	0	362	362	256
1ZBD-A	test_pdbch	0	203	203	256
1ZD8-A	test_pdbch	0	227	227	256
1ZFS-A	test_pdbch	0	93	93	256
1ZD1-A	test_pdbch	0	284	284	256
1ZBU-A	test_pdbch	0	349	349	256
1ZCN-A	test_pdbch	0	161	161	256
1ZI7-A	test_pdbch	0	406	406	256
1ZJ9-A	test_pdbch	0	566	566	256
1ZL3-A	test_pdbch	0	327	327	256
1ZQ9-A	test_pdbch	0	285	285	256
1ZP2-A	test_pdbch	0	235	235	256
1ZNQ-O	test_pdbch	0	338	338	256
1ZN9-A	test_pdbch	0	180	180	256
1ZN0-A	test_pdbch	0	185	185	256
1ZS9-A	test_pdbch	0	261	261	256
1ZRH-A	test_pdbch	0	274	274	256
1ZUA-X	test_pdbch	0	317	317	256
2A14-A	test_pdbch	0	263	263	256
2A1T-A	test_pdbch	0	421	421	256
2A1U-A	test_pdbch	0	333	333	256
2A1U-B	test_pdbch	0	255	255	256
1ZVU-A	test_pdbch	0	716	716	256
2A30-A	test_pdbch	0	248	248	256
2A1X-A	test_pdbch	0	308	308	256
2A5F-A	test_pdbch	0	175	175	256
2A5E-A	test_pdbch	0	156	156	256
2A7S-A	test_pdbch	0	548	548	256
2A87-A	test_pdbch	0	335	335	256
2A8R-A	test_pdbch	0	212	212	256
2A79-B	test_pdbch	0	499	499	256
2AF9-A	test_pdbch	0	164	164	256
2AKY-A	test_pdbch	0	220	220	256
2AKI-Y	test_pdbch	0	400	400	256
2AG5-A	test_pdbch	0	246	246	256
2AC1-A	test_pdbch	0	541	541	256
2ALE-A	test_pdbch	0	134	134	256
